,prd_name,prd_brand,prd_price,prd_capa,prd_ingredients,prd_exp,prd_category
10,5번 잡티 이별 세럼,넘버즈인,"30,000",50ml,"비타민나무추출물, 부틸렌글라이콜, 메틸글루세스-20, 다이프로필렌글라이콜, 글리세린, 1,2-헥산다이올, 나이아신아마이드, 인도멀구슬나무꽃추출물, 홀리바질잎추출물, 인도멀구슬나무잎추출물, 울금뿌리추출물, 참산호말추출물, 레몬껍질오일, 오렌지껍질오일, 라임전초오일, 호장근뿌리추출물, 황금추출물, 녹차추출물, 스페인감초뿌리추출물, 마트리카리아꽃추출물, 로즈마리잎추출물, 병풀추출물, 아스코빌글루코사이드, 아스코빅애씨드, 3-O-에틸아스코빅애씨드, 판테놀, 소듐하이알루로네이트, 다이포타슘글리시리제이트, 글리세레스-26, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-10라우레이트, 카보머, 알란토인, 트로메타민, 정제수, 하이드롤라이즈드호호바에스터, 다이소듐이디티에이",제조일로부터 36개월 / 개봉 후 12개월,세럼
11,6번 푹잠 마스크팩 세럼,넘버즈인,"30,000",50ml,"빙하수, 부틸렌글라이콜, 프로판다이올, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 정제수, 클로렐라 불가리스추출물, 자일리틸글루코사이드, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 자일리톨, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 알로에베라꽃추출물, 가지열매추출물, 홀리바질잎추출물, 참산호말추출물, 울금뿌리추출물, 하이알루로닉애씨드, 글리세레스-26, 판테놀, 펜틸렌글라이콜, 글루코오스, 소듐피씨에이, 안하이드로자일리톨, 프룩토올리고사카라이드, 프룩토오스, 폴리글리세릴-10라우레이트, 소듐시트레이트, 다이포타슘글리시리제이트, 소듐하이알루로네이트크로스폴리머, 에틸헥실글리세린, 아데노신, 하이드롤라이즈드글라이코사미노글리칸, 시트릭애씨드, 벤질글라이콜, 토코페롤, 잔탄검",제조일로부터 36개월 / 개봉 후 12개월,세럼
12,AHC 에이치 멜라루트 앰플 스틱 10g,AHC,"20,000",-,"아이소데실네오펜타노에이트, 해바라기씨왁스, C12-15알킬벤조에이트, 알로에베라잎수, 카프릴릭/카프릭트라이글리세라이드, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 코코-카프릴레이트/카프레이트, 부틸렌글라이콜, 비닐다이메티콘, 토코페릴아세테이트, 마이크로크리스탈린왁스, 티타늄디옥사이드, 폴리글리세릴-2트라이아이소스테아레이트, 폴리글리세릴-4 다이아이소스테아레이트/폴리하이드록시스테아레이트/세바케이트, 유용성감초추출물, 호호바잎추출물, 검은뽕나무열매추출물, 구기자추출물, 불가리스매자뿌리추출물, 비치스트로베리추출물, 참당귀 뿌리추출물, 해바라기씨오일, 소듐하이알루로네이트, 소듐클로라이드, 알파-비사보롤, 라우릴폴리글리세릴-3 폴리다이메틸실록시에틸다이메티콘, 솔비탄세스퀴올리에이트, 글리세릴카프릴레이트, 카프릴릴글라이콜, 정제수, 에틸헥실글리세린, 글리세린, 나이아신아마이드, 글루타티온, 세라마이드엔피, 콜레스테롤, 판테놀, 하이드록시스테아릭애씨드, 하이드롤라이즈드케라틴, 토코페롤, 메틸프로판다이올, 1,2-헥산다이올, 류코노스톡/무발효여과물, 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물, 소듐메타바이설파이트, 소듐설파이트, 글라이코리피드, 향료",개봉 전 2년 이내 / 개봉 후 1년 이내,세럼
13,BR 블레미쉬 케어 업 세럼,아이소이,"29,500",3ml,"정제수, 다마스크장미꽃수, 글리세린, 에탄올, 베타인, 알부틴, 트레할로오스, 다마스크장미꽃오일, 베어베리잎추출물, 바위돌꽃뿌리추출물, 비타민나무열매추출물, 아사이팜열매추출물, 로우스위트블루베리추출물, 인디안구스베리열매추출물, 크랜베리추출물, 고삼뿌리추출물, 약모밀추출물, 잔탄검, 알란토인, 판테놀, 바오밥나무잎추출, 밤껍질추출물, 흰버드나무껍질추출물, 병풀추출물, 부틸렌글라이콜, 1,2-헥산다이올, 포트마리골드꽃추출물, 황금추출물, 모란뿌리추출물, 스페인감초뿌리추출물, 시트로넬올* 제라니올* *자연유래 에센셜 오일에 원래 포함된 성분입니다. ※아이소이에서 사용하는 에탄올은 식물발효성분입니다.",제조일자로부터 3년 개봉 후 6개월 사용권장,세럼
14,BR 블레미쉬 케어 업 세럼 더블기획,아이소이,"54,000",20ml,"정제수, 다마스크장미꽃수, 글리세린, 에탄올,알부틴, 베타인, 트레할로오스, 다마스크장미꽃오일, 비타민나무열매추출물, 아사이팜열매추출물, 로우스위트블루베리추출물, 인디안구스베리열매추출물, 크랜베리추출물, 바위돌꽃뿌리추출물, 고삼뿌리추출물, 블랙윌로우나무껍질추출물, 약모밀추출물, 잔탄검, 알란토인, 판테놀, 붉나무충영추출물, 올리브나무잎추출물, 감국꽃추출물, 회화나무싹추출물, 꿀풀잎추출물, 밤껍질추출물, 흰버드나무껍질추출물, 병풀추출물, 부틸렌글라이콜, 1,2-헥산다이올, 포트마리골드꽃추출물, 황금추출물, 모란뿌리추출물, 스페인감초뿌리추출물 *아이소이에서 사용하는 에탄올은 식물발효성분입니다",제조일자로부터 3년 개봉 후 6개월 사용권장,세럼
15,DMT 데일리보습 로션,피지오겔,"38,000",200ml,"■ 정제수, 카프릴릭/카프릭트리글리세라이드,, 글리세린, 펜틸렌글라이콜, 코코넛오일, 기름야자오일, 쉐어버터, 올리브오일, 하이드로제네이티드레시틴, 하이드록시에칠셀룰로오스, 카프릴릴글라이콜, 잔탄검, 스쿠알란, 카보머, 소듐카보머, 세라마이드3",제조일자로부터 36개월,로션
16,DMT 에센스 인 토너,피지오겔,"30,000",200ml,"정제수, 다이프로필렌글라이콜, 글",제조일자로부터 36개월,스킨토너
17,DMT 페이셜 로션,피지오겔,"38,000",200ml+50ml,"정제수, 카프릴릭/카프릭트라이글리세라이드, 글리세린, 펜틸렌글라이콜, 코코넛야자오일, 오일팜오일, 시어버터, 올리브오일, 하이드로제네이티드레시틴, 하이드록시에틸셀룰로오스, 카프릴릴글라이콜, 잔탄검, 스쿠알란, 카보머, 소듐카보머, 세라마이드엔피",제조일로부터 36개월.,로션
18,DMT 페이셜 크림,피지오겔,"59,000",100ml+100ml,"정제수, 카프릴릭/카프릭트라이글리세라이드, 글리세린, 펜틸렌글라이콜, 코코넛야자오일, 하이드로제네이티드레시틴, 시어버터, 하이드록시에틸셀룰로오스, 스쿠알란, 카보머, 잔탄검, 소듐카보머, 세라마이드엔피",제조일로부터 36개월,크림
19,DMT 포맨 플루이드,피지오겔,"35,000",100ml,"정제수, 글리세린, 부틸렌글라이콜, 카프릴릴메티콘, 트레할로오스, 1,2-헥산다이올, 하이드로제네이티드폴리(C6-14올레핀), 다이페닐실록시페닐트라이메티콘, 하이드록시에틸우레아, 하이드로제네이티드레시틴, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 다이메티콘/페닐비닐다이메티콘크로스폴리머, 트로메타민, 나이아신아마이드, 판테놀, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 트라이소듐이디티에이, 베타-글루칸, 카프릴릭/카프릭트라이글리세라이드, 스쿠알란, 병풀추출물, 하이드롤라이즈드소듐하이알루로네이트, 다이포타슘글리시리제이트, 세라마이드엔피, 카퍼트라이펩타이드-1",제조일자로부터 36개월 / 개봉 후 12개월,로션
