INGR_ENG_NAME,INGR_KOR_NAME
POLYAMINOPROPYL BIGUANIDE,폴리아미노프로필바이구아나이드
TALLOWTRIMONIUM CHLORIDE,탈로우트라이모늄클로라이드
CETALKONIUM CHLORIDE,세탈코늄클로라이드
SODIUM MANNITYLPHYTATE,소듐만니틸파이테이트
PHENETHYL PHENOXY METHYLDIHYDROPYRROLOQUINOLINE HCL,페네틸페녹시메틸다이하이드로피롤로퀴놀린에이치씨엘
ISOPROPYLPARABEN,아이소프로필파라벤
PAPENFUSSIELLA KUROMO EXTRACT,연두털말추출물
MAGNESIUM SALICYLATE,마그네슘살리실레이트
MOLYBDIC ACID,몰리브딕애씨드
METHYLISOTHIAZOLINONE,메칠이소치아졸리논
POTASSIUM PROPYLPARABEN,포타슘프로필파라벤
SODIUM SALICYLATE,소듐살리실레이트
HEXAMIDINE,헥사미딘
AMMONIUM BENZOATE,암모늄벤조에이트
THIAMINE BIS-LAURYLSULFATE,티아민비스-라우릴설페이트
MURRAYA KOENIGII LEAF OIL,커리리프트리잎오일
ZINC PYRITHIONE,징크피리치온
HEXETIDINE,헥세티딘
UNDECYLENIC ACID,운데실레닉애씨드
HYDROGENATED TALLOWALKONIUM CHLORIDE,하이드로제네이티드탈로우알코늄클로라이드
GLUTARAL,글루타랄
POTASSIUM PROPIONATE,포타슘프로피오네이트
POTASSIUM SALICYLATE,포타슘살리실레이트
POTASSIUM UNDECYLENATE,포타슘운데실레네이트
METHENAMINE,메텐아민
CALCIUM SORBATE,칼슘솔베이트
BENZETHONIUM CHLORIDE,벤제토늄클로라이드
BENZALKONIUM CHLORIDE,벤잘코늄클로라이드
POTASSIUM SULFITE,포타슘설파이트
SODIUM UNDECYLENATE,소듐운데실레네이트
PHENYL MERCURIC BORATE,페닐머큐릭보레이트
POTASSIUM SORBATE,포타슘솔베이트
SODIUM BENZOATE,소듐벤조에이트
TEA-SALICYLATE,티이에이-살리실레이트
SODIUM SULFITE,소듐설파이트
CHLORHEXIDINE,클로헥시딘
POTASSIUM PARABEN,포타슘파라벤
POTASSIUM BUTYLPARABEN,포타슘부틸파라벤
MEA-BENZOATE,엠이에이-벤조에이트
CHLOROBUTANOL,클로로부탄올
TEA-SORBATE,티이에이-솔베이트
SOYTRIMONIUM CHLORIDE,소이트라이모늄클로라이드
PROPYL BENZOATE,프로필벤조에이트
COCOALKONIUM CHLORIDE,코코알코늄클로라이드
7-ETHYLBICYCLOOXAZOLIDINE,7-에틸바이사이클로옥사졸리딘
PHENYL MERCURIC CHLORIDE,페닐머큐릭클로라이드
DIAZOLIDINYL UREA,디아졸리디닐우레아
TRICLOSAN,트리클로산
CHLOROXYLENOL,클로로자일레놀
DICHLOROBENZYL ALCOHOL,다이클로로벤질알코올
DEHYDROACETIC ACID,데하이드로아세틱애씨드
SODIUM SORBATE,소듐솔베이트
HEXAMIDINE DIISETHIONATE,헥사미딘다이이세티오네이트
SILVER CHLORIDE,실버클로라이드
CALCIUM UNDECYLENATE,칼슘운데실레네이트
SODIUM METABISULFITE,소듐메타바이설파이트
CHLORPHENESIN,클로페네신
TALLOWALKONIUM CHLORIDE,탈로우알코늄클로라이드
MEA-SALICYLATE,엠이에이-살리실레이트
CHLORHEXIDINE DIGLUCONATE,클로헥시딘다이글루코네이트
AMMONIUM PROPIONATE,암모늄프로피오네이트
SODIUM PROPYLPARABEN,소듐프로필파라벤
POTASSIUM ETHYLPARABEN,포타슘에틸파라벤
CALCIUM BENZOATE,칼슘벤조에이트
SODIUM BISULFITE,소듐바이설파이트
SODIUM FORMATE,소듐포메이트
BENZALKONIUM BROMIDE,벤잘코늄브로마이드
ISOPROPYL CRESOLS,아이소프로필크레솔
BUTYL BENZOATE,부틸벤조에이트
CHLORHEXIDINE DIHYDROCHLORIDE,클로헥시딘다이하이드로클로라이드
QUATERNIUM-15,쿼터늄-15
SORBIC ACID,소르빅애씨드
MAGNESIUM PROPIONATE,마그네슘프로피오네이트
"5-BROMO-5-NITRO-1,3-DIOXANE","5-브로모-5-나이트로-1,3-디옥산"
MYRTRIMONIUM BROMIDE,미르트라이모늄브로마이드
BROMOCHLOROPHENE,브로모클로로펜
4-HYDROXYBENZOIC ACID,4-하이드록시벤조익애씨드
O-PHENYLPHENOL,o-페닐페놀
SODIUM IODATE,소듐아이오데이트
CASSYTHA FILIFORMIS POWDER,폴스도더가루
CLIMBAZOLE,클림바졸
MAGNESIUM BENZOATE,마그네슘벤조에이트
AMMONIUM SULFITE,암모늄설파이트
DIMETHYL OXAZOLIDINE,디메칠옥사졸리딘
MYRISTALKONIUM SACCHARINATE,미리스탈코늄사카리네이트
CALCIUM SALICYLATE,칼슘살리실레이트
SODIUM ISOPROPYLPARABEN,소듐아이소프로필파라벤
CETRIMONIUM CHLORIDE,세트리모늄클로라이드
ALPINIA SPECIOSA FLOWER/LEAF/SEED/STEM EXTRACT,월도꽃/잎/씨/줄기추출물
POTASSIUM METHYLPARABEN,포타슘메틸파라벤
PROPYLPARABEN,프로필파라벤
HYDROGENATED PALMTRIMONIUM CHLORIDE,하이드로제네이티드팜트라이모늄클로라이드
CETEARTRIMONIUM CHLORIDE,세테아트라이모늄클로라이드
EGG SHELL MEMBRANE EXTRACT,난각막추출물
O-CYMEN-5-OL,o-사이멘-5-올
POTASSIUM METABISULFITE,포타슘메타바이설파이트
HYDROGENATED TALLOWTRIMONIUM CHLORIDE,하이드로제네이티드탈로우트라이모늄클로라이드
