브랜드,시군구별,도로명주소,사업장명,위도,경도
이디야,서대문구,"서울특별시 서대문구 홍제천로 146-9, 1층 (연희동)",이디야커피 연희홍연길점,37.576374737111784,126.92714786965348
이디야,관악구,"서울특별시 관악구 신림로46길 1, 서원동성당 지하1층 (신림동)",이디야,37.47846550587719,126.93061694403062
이디야,용산구,"서울특별시 용산구 한강대로 138, 1층 (한강로2가)",이디야커피 삼각지점,37.53144585375199,126.9675715845886
이디야,성동구,"서울특별시 성동구 사근동길 4 (행당동,(지상1층))",이디야커피(한양대점),37.55994511705181,127.03865929123103
이디야,강남구,"서울특별시 강남구 삼성로 608, 우창빌딩 지상1층 (삼성동)",이디야커피 삼성중앙역점,37.513872434686,127.0503669441784
이디야,광진구,"서울특별시 광진구 아차산로30길 8, 2층 (자양동)",이디야,37.54041674313877,127.06471735148868
이디야,광진구,"서울특별시 광진구 광나루로 508, 1층 102,103호 (구의동)",이디야커피,37.54473816416421,127.08304052353598
이디야,동대문구,"서울특별시 동대문구 경희대로 26, 호텔관광대학 1층 (회기동)",(주)이디야경희대캠퍼스점,37.596712592280625,127.04850461927285
이디야,성북구,"서울특별시 성북구 장위로 35, 1층 (장위동)",EDIYA COFFEE 이디야커피 장위중앙점,37.61446187598124,127.03788798566819
이디야,마포구,"서울특별시 마포구 성미산로 78 (성산동, 1층일부)",이디야 성산중앙점,37.56031347291956,126.91377378774465
이디야,양천구,"서울특별시 양천구 지양로 79, 지상1층 (신월동)",이디야신월7동점,37.52242408599604,126.8300728770709
이디야,양천구,"서울특별시 양천구 신정로11길 50-15, 지상1층 (신정동)",이디야 신정서부점,37.512220213051506,126.83545757538452
이디야,양천구,"서울특별시 양천구 목동중앙로 85, 지하1층 101호 (목동, 강산아파트제1동)",이디야커피목동신목점,37.537020731353486,126.86856864977501
이디야,강서구,"서울특별시 강서구 등촌로 67, 컴스웨이빌딩 1층 (등촌동)",이디야커피 등촌중앙점,37.536082969123264,126.86027189854474
이디야,강서구,"서울특별시 강서구 등촌로5길 80, 1층 (화곡동, 4동)",이디야 화곡남부시장점,37.53306029419341,126.85607225165664
이디야,영등포구,"서울특별시 영등포구 국회대로54길 10, 상가1동 1층 2,2-1호 (영등포동7가, 아크로타워 스퀘어)",이디야영등포아크로타워점,37.52375449744439,126.9041676952029
이디야,관악구,"서울특별시 관악구 관천로 52, 1층 (신림동)",이디야커피,37.48434761298333,126.92374653066089
이디야,강동구,"서울특별시 강동구 명일로 110, 105호 (둔촌동, 암펠로스타워)",이디야커피 보훈병원점,37.52886390440559,127.14018511311254
이디야,강남구,"서울특별시 강남구 언주로148길 14, 나동 지상1층 107호 (논현동, 청호불교문화원)",이디야 도산사거리점,37.520407232635996,127.03320521852369
이디야,강동구,"서울특별시 강동구 명일로 260, 길동신동아아파트 상가동 1층 106,107,116,117호 (길동)",이디야커피 강동신명초교점,37.54150074322816,127.14462368344236
이디야,강동구,"서울특별시 강동구 양재대로 1471, 1층 (길동)",이디야커피 길동역점,37.53728262726415,127.13651886788458
이디야,강동구,서울특별시 강동구 상암로 210 (명일동),이디야(EDIYA COFFEE),37.54630440415645,127.14289667838845
이디야,강동구,"서울특별시 강동구 명일로 200, 1층 (길동)",이디야 길동중앙점,37.53653502581824,127.1430480182389
이디야,강동구,"서울특별시 강동구 올림픽로 665 (천호동,101호)",이디야커피 천호현대점,37.541029248656436,127.12082497606104
이디야,강동구,서울특별시 강동구 천호대로 1027 (천호동),이디야,37.5382418327778,127.1234561788616
이디야,강동구,"서울특별시 강동구 암사길 50, 근린생활시설동 105호 (암사동)",이디야커피 암사중앙점,37.551587219445416,127.13197307780491
이디야,서초구,"서울특별시 서초구 바우뫼로 20, 1층 (우면동)",이디야커피 우면동점,37.469999193495795,127.02240267004271
이디야,강동구,서울특별시 강동구 성안로 7 (성내동),이디야커피 (올림픽북문점),37.52454224530162,127.1260020987636
이디야,강동구,"서울특별시 강동구 성내로6길 20, 청일 베르네 1층 104,105호 (성내동, 청일 베르네)",이디야강동구청점,37.52902396016417,127.1194570052987
이디야,강동구,"서울특별시 강동구 천호대로 1065 (천호동,강동쌍떼빌 제엘106호)",이디야커피(EDIYA COFFEE),37.537012196021244,127.12752838358169
